CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
5558719;3106205558719;31;310620;;PERFORMANCE E SIMETRIA STUDIO DE PILATES LTDA;PERFORMANCE E SIMETRIA;;;M;;;M ;MUNICIPAL;4;36;31035560;RUA CONSELHEIRO LAFAIETE;2034;SAGRADA FAMILIA;31987052636;-19.9007322;-43.9234794;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;13280373000105.0;dricafri@hotmail.com;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
9118357;1300089118357;13;130008;4628020000162.0;UNIDADE BASICA DE SAUDE FLUVIAL DR OSWALDO PALHARES;UBS FLUVIAL DR OSWALDO PALHARES;;;M;;;M ;MUNICIPAL;4;32;69445000;ZONA RURAL;S/N;MUNICIPIO DE ANAMA;;-3.580090834;-61.4058494568;5.0;ATENDIMENTO COM TURNOS INTERMITENTES;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
7857292;4108307857292;41;410830;;MASTERMEDFOZ CONSULTAS MEDICAS LTDA ME;MASTERMEDFOZ;;;M;;;M ;MUNICIPAL;4;22;85851000;AVENIDA BRASIL;1835;CENTRO;(045) 3028-2016;-25.5513108775;-54.5865689593;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;9223063000181.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
4280652;2610904280652;26;261090;;CENTRO DE APOIO EM EDUCACAO E SAUDE CAES;CLINICA HOSPITALAR VITHALIS;;;M;;;M ;MUNICIPAL;4;36;55200000;SITIO CLIMERIO;470;MIMOSO;;-8.399639;-36.879459;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;33790982000464.0;;3999.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
7976259;3171707976259;31;317170;25970260000110.0;PREFEITURA MUNICIPAL DE SAUDE;SECRETARIA MUNICIPAL DE SAUDE DE VIRGINIA;;;M;;;M ;MUNICIPAL;4;68;37465000;RUA ANTONIO DA COSTA PINTO;247;CENTRO;(35)3373 1724;-22.3335913406;-45.0912089002;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saudevirginia@yahoo.com.br;1244.0;;;;;1.0;0.0;;SIM
7830297;3550307830297;35;355030;;ISO REBOUCAS RADIOLOGIAS E DOCUMENTACOES ODONTOLOGICAS LTDA;ICC RADIOLOGIA;;;M;;;M ;MUNICIPAL;4;39;5401100;AVENIDA REBOUCAS;855;CERQUEIRA CESAR;4304-0313;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13220472000100.0;reboucas@isoradiologia.com.br;2240.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;NAO
3057623;5300103057623;53;530010;;NUCLEO DE PNEUMOLOGIA E MEDICINA DO SONO DE TAGUATINGA LTDA;NUCLEO DE PNEUMOLOGIA E REAB PULM;;;E;;;E ;ESTADUAL;4;36;72115700;QNC AREA ESPECIAL 8 9 E 10 UNIDADE AUTONOMA 106 A;S/N;TAGUATINGA;61 33513771;-15.8237873732;-48.0670476613;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;4024440000130.0;jessika@extraconthabil.com.br;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
8532168;4314908532168;43;431490;;SILVAS LTDA;PSICOINCLUIR;;;M;;;M ;MUNICIPAL;4;36;90110170;DEZESSETE DE JUNHO;489;MENINO DEUS;51 34751408;-30.0471682606;-51.2246526472;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;11880487000160.0;FORMALIZE@FORMALIZEASSESSORIA.COM.BR;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
9892559;5103959892559;51;510395;37464955000100.0;PREFEITURA MUNICIPAL DE GLORIA DOESTE;FARMACIA BASICA MUNICIPAL;;;M;;;M ;MUNICIPAL;4;43;78293000;RUA CARLOS JUNIOR MARQUIORETO;1750;JOSE BEJO;6532751377;-15.7735974715;-58.3123719692;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
7147953;1301707147953;13;130170;;JOSE WAGNER NEPOMUCENO DE LIMA;FARMACIA NOVA XAROPAO;;;M;;;M ;MUNICIPAL;4;43;69800000;RUA 5 DE SETEMBRO;976;CENTRO;;-7.5127046863;-63.0256891251;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;31230488000177.0;;2135.0;;;;;0.0;0.0;;NAO
2702916;3302402702916;33;330240;29115474000160.0;MUNICIPIO DE MACAE;ESF AJUDA B;;;M;;;M ;MUNICIPAL;4;2;27910000;ESTRADA DO INCRA;S/N;AJUDA DE BAIXO;;-22.3224717;-41.753866;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;esf.ajudab@macae.rj.gov.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
5094828;3537305094828;35;353730;;PETRA CARVALHO CONSULTORIO DE PSICOLOGIA LTDA;PETRA CARVALHO;;;M;;;M ;MUNICIPAL;4;22;16300065;TREZE DE MAIO;57;CENTRO;18 96203512;-21.42172999;-50.0664814804;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;59004836000107.0;PETRANATANAELLY@OUTLOOK.COM;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
8421161;3304558421161;33;330455;;SIMILIA SAUDE INTEGRADA LTDA;SIMILIA SAUDE INTEGRADA;;;M;;;M ;MUNICIPAL;4;22;20765959;AVENIDA PASTOR MARTIN LUTHER KING JR;126;DEL CASTILHO;(21)2000-1020;-22.8788615923;-43.2694339746;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;66310156000187.0;contato@gmail.com;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
8028907;2504008028907;25;250400;;JESSIELEN OLIVEIRA LOPES;FACIELLE ODONTOLOGIA;;;M;;;M ;MUNICIPAL;4;22;58400270;RUA IRINEU JOFFILY;503;CENTRO;83 98204-9669;-7.22193;-35.88438;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;jacielleodontologia@gmail.com;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
7389272;2312307389272;23;231230;7778129000174.0;PREF M SAO BENEDITO;UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO;;;M;;;M ;MUNICIPAL;4;73;62370000;AVENIDA TABAJARA;S/N;CORRENTE;(88) 36262717;-4.0341762;-40.8631743;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;amandasaguiar3@gmail.com;1244.0;0.0;0.0;0.0;0.0;1.0;1.0;;SIM
9666400;4209009666400;42;420900;;CACHOEIRA CONSULTORIO MEDICO EIRELI;CACHOEIRA CONSULTORIO MEDICO EIRELI;;;M;;;M ;MUNICIPAL;4;22;89600000;RUA FREI EDGAR;138;CENTRO;4939600570;-27.176010999;-51.5058588982;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;30093890000194.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
5518792;3170705518792;31;317070;;PABLO HERNANDEZ BAHR;PABLO HERNANDEZ BAHR CONSULTORIO MEDICO;;;M;;;M ;MUNICIPAL;4;22;37010600;RUA ALFERES JOAQUIM ANTONIO;13;VILA PINTO;;-21.5571603526;-45.442199707;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
6055036;3138906055036;31;313890;18404921000185.0;PREFEITURA MUNICIPAL DE MACHACALIS;UNIDADE PSF JUVENCIO ALVES SILVA;;;M;;;M ;MUNICIPAL;4;2;39873000;RUA PEDRO DIAS DO NASCIMENTO;S/N;CENTRO;(33)988276560;-17.0780357448;-40.715546608;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;secretariademachacalis@bol.com.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
4216180;3550304216180;35;355030;;P4 SERVICOS DE SAUDE LTDA;P4 SERVICOS DE SAUDE;;;M;;;M ;MUNICIPAL;4;22;1308000;BARATA RIBEIRO;414;BELA VISTA;11 20959855;-23.5565708;-46.6571366;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;26277661000152.0;LEGALIZACAO@ORSSA.COM.BR;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
5171873;2611605171873;26;261160;;FERNANDA MARIA DE LIRA CORREIA PSICOLOGIA;FERNANDA LIRA PSICOLOGIA;;;M;;;M ;MUNICIPAL;4;22;50940790;AV LIBERDADE;950;CURADO;8198139979;-8.0443302059;-34.9612593835;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;50364759000121.0;legalizacao@contabilizadigital.com;2135.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
4994671;4201404994671;42;420140;;IZZA CLINICA LTDA;IZZA CLINICA;;;M;;;M ;MUNICIPAL;4;36;88900019;XV DE NOVEMBRO;1650;CENTRO;48 96996370;-28.9391801998;-49.4860863577;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;51453110000140.0;PIAZZAZLUIZA@GMAIL.COM;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
5501407;3304555501407;33;330455;;MINISTERIO DA EDUCACAO;INSTITUTO BENJAMIN CONSTANT;;;M;;;M ;MUNICIPAL;3;36;22290240;AVENIDA PASTEUR;360;URCA;(21) 3478-4420;-22.9503;-43.7698;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;394445027212.0;dmr@ibc.gov.br;1015.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
4635787;5208704635787;52;520870;;JULIA CAIXETA RODRIGUES DE OLIVEIA LTDA;INSTITUTO JULIA CAIXETA;;;M;;;M ;MUNICIPAL;4;22;74175020;ALAMEDA RICARDO PARANHOS;119;SETOR MARISTA;62985435027;-16.7005406;-49.256142;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;53129054000118.0;julia_crd@hotmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;NAO
3013561;3304303013561;33;330430;;CARB CLINICOS ASSOCIADOS DE RIO BONITO SC LTDA;CARB;;;M;;;M ;MUNICIPAL;4;4;28800000;RUA OSWALDO CRUZ;54;CENTRO;2127343690;-22.7109847;-42.6258886;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;1858472000142.0;;2240.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9740198;3304559740198;33;330455;;DEBORAH MILWARD DE ANDRADE;DEBORAH MILWARD DE ANDRADE;;;M;;;M ;MUNICIPAL;4;22;22410000;RUA VISCONDE DE PIRAJA;330;IPANEMA;2125330410;-22.9840115;-43.2092282;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;JACQUELINE@REALCAD.COM.BR;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;NAO
89427;3304550089427;33;330455;;UROMAX CLINICA UROLOGICA DE CIRURGIA LTDA;UROMAX;;;M;;;M ;MUNICIPAL;4;36;20735090;RUA COSTANCA BARBOSA;188;MEIER;;-22.875;-43.225;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;9234687000102.0;;2240.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;NAO
9818081;4108409818081;41;410840;;ELIZAMARA ELIEGE SEGALA CLINICA MEDICA;ELIZAMARA ELIEGE SEGALA CLINICA MEDICA;;;M;;;M ;MUNICIPAL;4;22;85601630;CURITIBA;2192;CENTRO;46 99852222;-26.0821868165;-53.054265976;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;24540518000186.0;;2135.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;NAO
9319018;2500709319018;25;250070;;LABORATORIO DE ANALISES CLINICAS DR IVAN CAVALCANTE LTDA M;LABORATORIO DE ANALISES CLINICAS DR IVAN CAVALCANTE;;;M;;;M ;MUNICIPAL;4;39;58910000;TABELIAO JOSE CANDIDO DANTAS;98;CENTRO;83 35314484;-6.728903666;-38.4488654137;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;24291858000382.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
4112229;3550304112229;35;355030;;SPECC SAO PAULO ESPECIALIDADES CLINICAS E CIRURGICAS LTDA;SPECC FILIAL;;;M;;;M ;MUNICIPAL;4;22;3317000;R SERRA DE BOTUCATU;660;VILA GOMES CARDIM;;-23.5435809;-46.5676352;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;19860887000205.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2688123;3507602688123;35;350760;46352746000165.0;PREFEITURA DO MUNICIPIO E BRAGANCA PAULISTA;DIVISAO DE VIGILANCIA EPIDEMIOLOGICA;;;M;;;M ;MUNICIPAL;4;50;12912320;RUA ARTUR BERNARDES;60;SANTA TEREZINHA;;-22.94314;-46.53488;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;;;;;0.0;0.0;;SIM
9048626;5107909048626;51;510790;;EMMYLINE PERIN DE PAULA;EMMYLINE PERIN DE PAULA NUTRICIONISTA;;;M;;;M ;MUNICIPAL;4;22;78556220;RUA DAS NINFEIAS;177;JD MARINGA II;;-11.8630670731;-55.5234539509;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2014564;1302602014564;13;130260;4461836000144.0;MANAUS SECRETARIA MUNICIPAL DE SAUDE;USF S 40;;;M;;;M ;MUNICIPAL;3;2;69067110;RUA FRAGATA;1000;PETROPOLIS;(92)988028137;-3.107499607;-59.99560003;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;usf.s40@manaus.am.gov.br;1031.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
249319;4202400249319;42;420240;;DR CURATIVO CENTRO DE TRATAMENTO DE FERIDAS LTDA;DR CURATIVO;;;M;;;M ;MUNICIPAL;4;36;89010207;SETE DE SETEMBRO;1433;CENTRO;(47) 30355893;-26.918606943;-49.0700778365;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;37320121000120.0;drcurativos@gmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;NAO
706922;4115200706922;41;411520;;ODONTOCOB CLINICAS ODONTOLOGICAS DO BRASIL LTDA;ODONTOCOB;;;M;;;M ;MUNICIPAL;4;36;87013230;XV DE NOVEMBRO;255;ZONA 01;44 32227539;-23.4241368905;-51.9349721074;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;5697419000168.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2962195;1100202962195;11;110020;;G J COMERCIO DE MEDICAMENTOS LTDA;FARMACIA CAINAGUA;;;M;;;M ;MUNICIPAL;4;43;76805898;JOAO ALFREDO;385;BAIXA UNIAO;69 93880609;-8.7688724;-63.9067746;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;46429571000147.0;cordeiro-pvh@hotmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
5656540;4209105656540;42;420910;;ACAO SOCIAL DE JOINVILLE;ACAO SOCIAL DE JOINVILLE;;;M;;;M ;MUNICIPAL;4;39;89201020;AVENIDA CEL PROCOPIO GOMES;219;BUCAREIN;(47) 34226204;-26.3166562;-48.8404847;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;84717925000148.0;;3999.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
9852956;3548909852956;35;354890;;BKJ FISIOTERAPEUTAS LTDA;BKJ FISIOTERAPEUTAS;;;M;;;M ;MUNICIPAL;4;22;13562390;RUA ALBERTO LANZONI;659;SANTA FELICIA;;-22.0147585164;-47.8969359398;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;33770648000104.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
960373;2307650960373;23;230765;;PAULO EDELSON DE SOUZA COSTA;ORTHOMEDIC;;;M;;;M ;MUNICIPAL;4;22;61900225;CARLOS JEREISSATI;852;JEREISSATI I;68 99654845;-3.8768215401;-38.6254620552;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;40074094000168.0;laccontabilidade@gmail.com;2135.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
7216556;5221007216556;52;522100;1068055000104.0;PREFEITURA MUNICIPAL DE TAQUARAL DE GOIAS;VIGILANCIA EM SAUDE;;;M;;;M ;MUNICIPAL;4;50;76640215;RUA CASTRO ALVES;S/N;CENTRO;;-16.0548740354;-49.6003566068;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;secsaudetaquaral@bol.com.br;1244.0;;;;;0.0;0.0;;SIM
7254989;4320407254989;43;432040;;GERSON JAMIN MATTOS SERVICOS EM SAUDE LTDA ME;GERSON JAMIN MATTOS SERVICOS EM SAUDE LTDA;;;M;;;M ;MUNICIPAL;4;22;99250000;RUA DAS FLORES;100;CENTRO;;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;17531745000180.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;NAO
7572700;3132107572700;31;313210;18283101000182.0;PREFEITURA MUNICIPAL DE ITACARAMBI;UBS SORAIA DURAES FERREIRA;;;M;;;M ;MUNICIPAL;4;2;39470000;AVENIDA DO CONTORNO;463;SAO JOSE;;-15.1036056;-44.1009532;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;regulacao.itac@yahoo.com.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
3290883;3550303290883;35;355030;;FABIO MONTES;CONS MEDICO FABIO MONTES;;;M;;;M ;MUNICIPAL;4;22;4321110;RUA DO CAJUEIROS;310;JABAQUARA;(11)50132545;-23.6440933;-46.6440902;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;fabio-montes@ig.com.br;4000.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
